"","Field of study","1970-71","1975-76","1980-81","1985-86","1990-91","1995-96","2000-01","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13","2013-14","2014-15","2015-16"
"1","Total ","839730","925746","935140","987823","1094538","1164792","1244171","1485242","1524092","1563069","1601399","1649919","1716053","1792163","1840381","1870150","1894969","1920718"
"2","Agriculture and natural resources ","12672","19402","21886","16823","13124","21425","23370","23053","23133","24113","24982","26343","28630","30972","33592","35125","36278","37005"
"3","Architecture and related services ","5570","9146","9455","9119","9781","8352","8480","9515","9717","9805","10119","10051","9831","9727","9757","9149","9090","8823"
"4","Area, ethnic, cultural, gender, and group studies ","2579","3577","2887","3021","4776","5633","6160","7879","8194","8454","8772","8620","8955","9228","8850","8275","7783","7840"
"5","Biological and biomedical sciences ","35705","54154","43078","38395","39482","61014","60576","70607","76832","79829","82828","86391","89984","95850","100397","104657","109904","113749"
"6","Business ","115396","143171","200521","236700","249165","226623","263515","318042","327531","335254","348056","358119","365133","367235","360887","358132","363741","371694"
"7","Communication, journalism, and related programs ","10324","20045","29428","41666","51650","47320","58013","73955","74783","76382","77984","81280","83231","83771","84818","87612","90658","92554"
"8","Communications technologies ","478","1237","1854","1479","1397","853","1178","2981","3637","4666","5100","4782","4858","4983","4987","4991","5135","4824"
"9","Computer and information sciences ","2388","5652","15121","42337","25159","24506","44142","47480","42170","38476","37992","39593","43066","47406","50961","55271","59586","64405"
"10","Education ","176307","154437","108074","87147","110807","105384","105458","107238","105641","102582","101716","101287","104008","105656","104698","98838","91596","87217"
"11","Engineering ","45034","38733","63642","77391","62448","62168","58209","66841","66874","68431","68911","72657","76356","81371","85987","92169","97852","106850"
"12","Engineering technologies ","5148","7943","11713","19731","17303","15829","14660","14565","14980","15177","15493","16078","16741","17283","17010","16807","17253","17159"
"13","English language and literature/letters ","63914","41452","31922","34083","51064","49928","50569","55096","55122","55038","55465","53229","52754","53765","52401","50464","45851","42795"
"14","Family and consumer sciences/human sciences ","11167","17409","18370","13847","13920","14353","16421","20775","21400","21870","21906","21832","22438","23441","23930","24689","24584","25389"
"15","Foreign languages, literatures, and linguistics ","20988","17068","11638","11550","13937","14832","16128","19410","20275","20977","21169","21507","21705","21756","21647","20332","19493","18427"
"16","Health professions and related programs ","25223","53885","63665","65309","59875","86087","75933","91973","101810","111478","120420","129623","143463","163675","181149","198777","216228","228896"
"17","Homeland security, law enforcement, and
   firefighting ","2045","12507","13707","12704","16806","24810","25211","35319","39206","40235","41788","43613","47600","54091","60264","62416","62723","61157"
"18","Legal professions and studies ","545","531","776","1223","1827","2123","1991","3302","3596","3771","3822","3886","4429","4595","4425","4513","4420","4243"
"19","Liberal arts and sciences, general studies,
   and humanities ","7481","18855","21643","21336","30526","33997","37962","44898","44255","46940","47095","46963","46717","46961","46790","45281","43649","43661"
"20","Library science ","1013","843","375","155","90","58","52","76","82","68","78","85","96","95","102","127","99","85"
"21","Mathematics and statistics ","24801","15984","11078","16122","14393","12713","11171","14770","14954","15192","15507","16029","17182","18841","20449","20987","21854","22777"
"22","Military technologies and applied sciences ","357","952","42","255","183","7","21","33","168","39","55","56","64","86","105","185","276","358"
"23","Multi/interdisciplinary studies ","6324","13709","12986","13754","17774","26885","26478","30583","32111","34174","35376","37717","42473","45717","47658","48392","47556","48794"
"24","Parks, recreation, leisure, and fitness studies ","1621","5182","5729","4623","4315","12974","17948","25490","27430","29931","31683","33332","35934","38998","42628","46047","49008","50918"
"25","Philosophy and religious studies ","8149","8447","6776","6396","7423","7541","8717","11985","11969","12257","12448","12503","12830","12645","12792","11999","11071","10157"
"26","Physical sciences and science technologies ","21410","21458","23936","21711","16334","19716","18025","20522","21291","22179","22691","23381","24705","26664","28053","29307","30042","30477"
"27","Precision production ","0","0","0","2","2","12","31","55","23","33","29","29","43","37","36","37","48","50"
"28","Psychology ","38187","50278","41068","40628","58655","73416","73645","88134","90039","92587","94273","97215","100906","109099","114446","117312","117573","117440"
"29","Public administration and social services ","5466","15440","16707","11887","14350","19849","19447","21986","23147","23493","23852","25421","26799","29695","31950","33483","34364","34432"
"30","Social sciences and history ","155324","126396","100513","93840","125107","126479","128036","161485","164183","167363","168517","172782","177169","178534","177767","173132","166971","161230"
"31","Theology and religious vocations ","3720","5490","5808","5510","4799","5292","6945","8548","8696","8992","8940","8719","9073","9304","9385","9642","9713","9804"
"32","Transportation and materials moving ","0","225","263","1838","2622","3561","3748","5349","5657","5203","5189","4998","4941","4876","4661","4588","4730","4529"
"33","Visual and performing arts ","30394","42138","40479","37241","42186","49296","61148","83297","85186","87703","89143","91798","93939","95806","97799","97414","95840","92979"
"34","Not classified by field of study ","0","0","0","0","13258","1756","783","0","0","377","0","0","0","0","0","0","0","0"
